"","Bat.species","Bat.family","Coronavirus.subgenus","Continent","Country","Reference"
"18","Hipposideros caffer","Hipposideridae","Hibecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"19","Hipposideros caffer","Hipposideridae","Duvinacovirus","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7"
"20","Hipposideros caffer","Hipposideridae","Duvinacovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"21","Hipposideros caffer","Hipposideridae","Hibecovirus","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"22","Hipposideros caffer","Hipposideridae","Duvinacovirus","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2"
"23","Hipposideros caffer","Hipposideridae","Sarbecovirus","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2"
"24","Hipposideros cf. caffer","Hipposideridae","Duvinacovirus","Africa","Zimbabwe","Bourgarel 2018 IGE https://doi.org/10.1016/j.meegid.2018.01.007"
"25","Hipposideros cf. caffer","Hipposideridae","Hibecovirus","Africa","Zimbabwe","Bourgarel 2018 IGE https://doi.org/10.1016/j.meegid.2018.01.007"
"26","Hipposideros cf. ruber","Hipposideridae","Duvinacovirus","Africa","Ghana","Corman 2015 J Virol https://doi.org/10.1128/JVI.01755-15"
"27","Hipposideros cf. ruber","Hipposideridae","Hibecovirus","Africa","Gabon","Maganga 2014 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0100172"
"28","Hipposideros cf. ruber","Hipposideridae","Duvinacovirus","Africa","Gabon","Maganga 2014 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0100172"
"29","Hipposideros cf. ruber","Hipposideridae","Duvinacovirus","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1"
"30","Hipposideros cf. ruber","Hipposideridae","Duvinacovirus","Africa","Ghana","Pfefferle 2009 EID https://dx.doi.org/10.3201%2Feid1509.090224"
"31","Hipposideros cf. ruber","Hipposideridae","Hibecovirus","Africa","Ghana","Pfefferle 2009 EID https://dx.doi.org/10.3201%2Feid1509.090224"
"32","Hipposideros cineraceus","Hipposideridae","Rhinacovirus","Asia","China","Xu 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3727-3"
"33","Hipposideros commersoni","Hipposideridae","Hibecovirus","Africa","Nigeria","Quan 2010 mBio https://doi.org/10.1128/mBio.00208-10"
"34","Hipposideros commersoni","Hipposideridae","Nobecovirus","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013"
"35","Hipposideros curtus","Hipposideridae","Duvinacovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"36","Hipposideros curtus","Hipposideridae","Duvinacovirus","Africa","Cameroon","PREDICT database http://data.predict.global/"
"37","Hipposideros fuliginosus","Hipposideridae","Hibecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"38","Hipposideros galeritus","Hipposideridae","Sarbecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"39","Hipposideros gigas","Hipposideridae","Duvinacovirus","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1"
"40","Hipposideros gigas","Hipposideridae","Hibecovirus","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1"
"41","Hipposideros gigas","Hipposideridae","Hibecovirus","Africa","Cameroon, Gabon, Guinea, Ivory Coast, Republic of Congo, South Sudan","PREDICT database http://data.predict.global/"
"42","Hipposideros larvatus","Hipposideridae","Hibecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"43","Hipposideros larvatus","Hipposideridae","Hibecovirus","Asia","Thailand","Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
"44","Hipposideros larvatus","Hipposideridae","Nobecovirus","Asia","Bangladesh, China, Lao PDR, Malaysia, Myanmar, Thailand","PREDICT database http://data.predict.global/"
"45","Hipposideros larvatus","Hipposideridae","Sarbecovirus","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
"46","Hipposideros larvatus","Hipposideridae","Rhinacovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"47","Hipposideros lekaguli","Hipposideridae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"48","Hipposideros lekaguli","Hipposideridae","Nobecovirus","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
"49","Hipposideros pomona","Hipposideridae","Hibecovirus","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9"
"50","Hipposideros pomona","Hipposideridae","Sarbecovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"51","Hipposideros pomona","Hipposideridae","Hibecovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"52","Hipposideros pomona","Hipposideridae","Rhinacovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"53","Hipposideros pomona","Hipposideridae","Rhinacovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"54","Hipposideros pratti","Hipposideridae","Sarbecovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"55","Hipposideros pratti","Hipposideridae","Hibecovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"56","Hipposideros pratti","Hipposideridae","Rhinacovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"57","Hipposideros pratti","Hipposideridae","Hibecovirus","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138"
"58","Hipposideros ruber","Hipposideridae","Duvinacovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"59","Hipposideros ruber","Hipposideridae","Hibecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"60","Hipposideros ruber","Hipposideridae","Hibecovirus","Africa","Nigeria","Kia 2021 American Journal of Tropical Medicine and Hygiene https://doi.org/10.4269/ajtmh.19-0872"
"61","Hipposideros ruber","Hipposideridae","Duvinacovirus","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"62","Hipposideros ruber","Hipposideridae","Hibecovirus","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"63","Hipposideros ruber","Hipposideridae","Duvinacovirus","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"64","Hipposideros ruber","Hipposideridae","Hibecovirus","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"65","Hipposideros ruber","Hipposideridae","Duvinacovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"66","Hipposideros ruber","Hipposideridae","Hibecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"67","Hipposideros ruber","Hipposideridae","Sarbecovirus","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"68","Hipposideros ruber","Hipposideridae","Nobecovirus","Africa","Cameroon, DR Congo, Guinea, Liberia, Republic of Congo, Rwanda, Senegal, Sierra Leone, Uganda","PREDICT database http://data.predict.global/"
"69","Hipposideros vittatus","Hipposideridae","Duvinacovirus","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16"
"70","Macronycteris gigas","Hipposideridae","Hibecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"71","Miniopterus schreibersii","Miniopteridae","Rhinacovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"72","Miniopterus schreibersii","Miniopteridae","Merbecovirus","Asia","South Korea","Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324"
"73","Miniopterus schreibersii","Miniopteridae","Sarbecovirus","Asia","Cameroon, China, Jordan, Liberia, Malaysia, Thailand","PREDICT database http://data.predict.global/"
"74","Chaerephon plicatus","Molossidae","Merbecovirus","Asia","Thailand","Wacharapluesadee 2013 EID https://dx.doi.org/10.3201%2Feid1908.130119"
"75","Chaerephon plicatus","Molossidae","Sarbecovirus","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138"
"76","Chaerephon plicatus","Molossidae","Sarbecovirus","Asia","China","Yang 2013 EID https://dx.doi.org/10.3201%2Feid1906.121648"
"77","Chaerephon pumilus","Molossidae","Nobecovirus","Africa","Rwanda, Tanzania, Uganda","Montecino-Latorre 2020 One Health Outlook https://doi.org/10.1186/s42522-019-0008-8"
"78","Chaerephon pumilus","Molossidae","Nobecovirus","Africa","Cameroon, DR Congo, Ethiopia, Guinea, Ivory Coast, Kenya, Republic of Congo, Rwanda, Sierra Leone, Tanzania, Uganda","PREDICT database http://data.predict.global/"
"79","Chaerephon pumilus","Molossidae","Duvinacovirus","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013"
"80","Eumops glaucinus","Molossidae","Merbecovirus","America","Brazil","Goes 2016 IGE https://doi.org/10.1016/j.meegid.2016.07.034"
"81","Mops condylurus","Molossidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"82","Mops condylurus","Molossidae","Hibecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"83","Mops condylurus","Molossidae","Nobecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"84","Nyctinomops laticaudatus","Molossidae","Merbecovirus","America","Mexico","Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0"
"85","Nyctinomops laticaudatus","Molossidae","Merbecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"86","Tadarida teniotis","Molossidae","Sarbecovirus","Europe","Italy","Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8"
"87","Nycteris cf. gambiensis","Nycteridae","Merbecovirus","Africa","Ghana","Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503"
"88","Nycteris macrotis","Nycteridae","Merbecovirus","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"89","Nycteris thebaica","Nycteridae","Merbecovirus","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7"
"90","Acerodon celebensis","Pteropodidae","Nobecovirus","Africa","Indonesia","PREDICT database http://data.predict.global/"
"91","Cynopterus brachyotis","Pteropodidae","Nobecovirus","Asia","Indonesia","Dharmayanti 2021 Journal of Veterinary Science https://doi.org/10.4142/jvs.2021.22.e70"
"92","Cynopterus brachyotis","Pteropodidae","Nobecovirus","Asia","Singapore","Lim 2019 J Gen Virol https://doi.org/10.1099/jgv.0.001307"
"93","Cynopterus brachyotis","Pteropodidae","Nobecovirus","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z"
"94","Cynopterus brachyotis","Pteropodidae","Nobecovirus","Asia","Philippines","Watanabe 2010 EID https://dx.doi.org/10.3201%2Feid1608.100208"
"95","Cynopterus horsfieldii","Pteropodidae","Nobecovirus","Asia","Lao PDR, Malaysia, Thailand, Vietnam","PREDICT database http://data.predict.global/"
"96","Cynopterus sphinx","Pteropodidae","Nobecovirus","Asia","China","Han 2019 Frontiers in Microbiology https://www.frontiersin.org/articles/10.3389/fmicb.2019.01900/full"
"97","Cynopterus sphinx","Pteropodidae","Nobecovirus","Asia","Laos, Cambodia","Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029"
"98","Cynopterus sphinx","Pteropodidae","Nobecovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"99","Cynopterus sphinx","Pteropodidae","Nobecovirus","Asia","Bangladesh, Cambodia, China, Lao PDR, Malaysia, Myanmar, Nepal, Thailand","PREDICT database http://data.predict.global/"
"100","Cynopterus sphinx","Pteropodidae","Nobecovirus","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1"
"101","Cynopterus sphinx","Pteropodidae","Nobecovirus","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
"102","Cynopterus sphinx","Pteropodidae","Nobecovirus","Asia","China","Xu 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3727-3"
"103","Dobsonia moluccensis","Pteropodidae","Nobecovirus","Asia","Indonesia","Anindita 2015 Archiv Virol https://doi.org/10.1007/s00705-015-2342-1"
"104","Dyacopterus spadiceus","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"105","Eidolon dupreanum","Pteropodidae","Nobecovirus","Africa","Madagascar","Razanajatovo 2015 Virology J https://doi.org/10.1186/s12985-015-0271-y"
"106","Eidolon helvum","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"107","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"108","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"109","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Nigeria","Leopardi 2016 Virus Genes https://doi.org/10.1007/s11262-016-1331-0"
"110","Eidolon helvum","Pteropodidae","Nobecovirus","Asia","Saudi Arabia","Mishra 2019 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0214227"
"111","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Rwanda, Tanzania, Uganda","Montecino-Latorre 2020 One Health Outlook https://doi.org/10.1186/s42522-019-0008-8"
"112","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"113","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"114","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16"
"115","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013"
"116","Eidolon helvum","Pteropodidae","Nobecovirus","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2"
"117","Eonycteris spelaea","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"118","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","Laos, Cambodia","Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029"
"119","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"120","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","China","Luo 2018 Virologica Sinica https://doi.org/10.1007/s12250-018-0017-2"
"121","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","Singapore","Mendenhall 2016 TED https://doi.org/10.1111/tbed.12568"
"122","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","Singapore","Paskey 2020 Virus Evolution https://doi.org/10.1093/ve/veaa017"
"123","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","Singapore","Paskey 2020 Viruses http://dx.doi.org/10.3390/v12050539"
"124","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1"
"125","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","Philippines","Watanabe 2010 EID https://dx.doi.org/10.3201%2Feid1608.100208"
"126","Eonycteris spelaea","Pteropodidae","Nobecovirus","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"127","Epomophorus gambianus","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"128","Epomophorus gambianus","Pteropodidae","Nobecovirus","Africa","Nigeria","Kia 2021 American Journal of Tropical Medicine and Hygiene https://doi.org/10.4269/ajtmh.19-0872"
"129","Epomophorus gambianus","Pteropodidae","Nobecovirus","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"130","Epomophorus gambianus","Pteropodidae","Nobecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"131","Epomophorus labiatus","Pteropodidae","Nobecovirus","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"132","Epomophorus labiatus","Pteropodidae","Nobecovirus","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16"
"133","Epomops buettikoferi","Pteropodidae","Nobecovirus","Africa","Ghana, Guinea, Ivory Coast, Sierra Leone","PREDICT database http://data.predict.global/"
"134","Epomops franqueti","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"135","Epomops franqueti","Pteropodidae","Nobecovirus","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"136","Epomops franqueti","Pteropodidae","Nobecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"137","Lissonycteris angolensis","Pteropodidae","Nobecovirus","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"138","Macroglossus minimus","Pteropodidae","Nobecovirus","Asia","Indonesia","Dharmayanti 2021 Journal of Veterinary Science https://doi.org/10.4142/jvs.2021.22.e70"
"139","Macroglossus minimus","Pteropodidae","Nobecovirus","Asia","Philippines","Tampon 2020 Philippine Journal of Science http://philjournalsci.dost.gov.ph/96-next-issue/vol-149-no-1-march-2020/1160-first-molecular-evidence-for-bat-betacoronavirus-in-mindanao"
"140","Macroglossus minimus","Pteropodidae","Nobecovirus","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z"
"141","Megaerops ecaudatus","Pteropodidae","Nobecovirus","Asia","Malaysia","PREDICT database http://data.predict.global/"
"142","Megaerops kusnotoi","Pteropodidae","Nobecovirus","Asia","China","Xu 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3727-3"
"143","Megaerops niphanae","Pteropodidae","Nobecovirus","Asia","Laos, Cambodia","Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029"
"144","Megaloglossus woermanni","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"145","Megaloglossus woermanni","Pteropodidae","Nobecovirus","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"146","Megaloglossus woermanni","Pteropodidae","Nobecovirus","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"147","Micropteropus pusillus","Pteropodidae","Nobecovirus","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
