"Bat.species","Bat.family","Link","Continent","Country","Reference"
"Hipposideros armiger","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros armiger","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros armiger","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.1016/j.virol.2017.03.019","Asia","China","Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.1186/s12985-015-0289-1","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.21203/rs.3.rs-885194/v1","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.21203/rs.3.rs-885194/v1","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"Hipposideros bicolor","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Hipposideros caffer","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Hipposideros caffer","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Hipposideros caffer","Hipposideridae","https://doi.org/10.1038/s41598-020-63799-7","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7"
"Hipposideros caffer","Hipposideridae","https://doi.org/10.1371/journal.pone.0236971","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"Hipposideros caffer","Hipposideridae","https://doi.org/10.1101/2021.09.03.458874","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"Hipposideros caffer","Hipposideridae","https://doi.org/10.1007/s10393-019-01458-8","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"Hipposideros caffer","Hipposideridae","https://doi.org/10.1007/s12250-016-3930-2","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2"
"Hipposideros caffer","Hipposideridae","https://doi.org/10.1007/s12250-016-3930-2","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2"
"Hipposideros caffer","Hipposideridae",NA,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Hipposideros cervinus","Hipposideridae","http://data.predict.global/","Asia","Malaysia","PREDICT database http://data.predict.global/"
"Hipposideros cervinus","Hipposideridae","https://doi.org/10.1007/s10393-017-1245-x","Asia","Malaysia","Seltmann 2017 EcoHealth https://doi.org/10.1007/s10393-017-1245-x"
"Hipposideros cf. caffer","Hipposideridae","https://doi.org/10.1016/j.meegid.2018.01.007","Africa","Zimbabwe","Bourgarel 2018 IGE https://doi.org/10.1016/j.meegid.2018.01.007"
"Hipposideros cf. caffer","Hipposideridae","https://doi.org/10.1016/j.meegid.2018.01.007","Africa","Zimbabwe","Bourgarel 2018 IGE https://doi.org/10.1016/j.meegid.2018.01.007"
"Hipposideros cf. ruber","Hipposideridae","https://doi.org/10.1128/JVI.01755-15","Africa","Ghana","Corman 2015 J Virol https://doi.org/10.1128/JVI.01755-15"
"Hipposideros cf. ruber","Hipposideridae","https://dx.doi.org/10.1371%2Fjournal.pone.0100172","Africa","Gabon","Maganga 2014 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0100172"
"Hipposideros cf. ruber","Hipposideridae","https://dx.doi.org/10.1371%2Fjournal.pone.0100172","Africa","Gabon","Maganga 2014 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0100172"
"Hipposideros cf. ruber","Hipposideridae","https://doi.org/10.1038/s41598-020-64159-1","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1"
"Hipposideros cf. ruber","Hipposideridae","https://dx.doi.org/10.3201%2Feid1509.090224","Africa","Ghana","Pfefferle 2009 EID https://dx.doi.org/10.3201%2Feid1509.090224"
"Hipposideros cf. ruber","Hipposideridae","https://dx.doi.org/10.3201%2Feid1509.090224","Africa","Ghana","Pfefferle 2009 EID https://dx.doi.org/10.3201%2Feid1509.090224"
"Hipposideros cineraceus","Hipposideridae","https://doi.org/10.1007/s12250-016-3727-3","Asia","China","Xu 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3727-3"
"Hipposideros cineraceus","Hipposideridae","https://doi.org/10.1016/j.cell.2021.06.008","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008"
"Hipposideros commersoni","Hipposideridae","https://doi.org/10.1128/mBio.00208-10","Africa","Nigeria","Quan 2010 mBio https://doi.org/10.1128/mBio.00208-10"
"Hipposideros commersoni","Hipposideridae","https://dx.doi.org/10.3201%2Feid1503.081013","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013"
"Hipposideros curtus","Hipposideridae","https://doi.org/10.1101/2021.09.03.458874","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"Hipposideros curtus","Hipposideridae","http://data.predict.global/","Africa","Cameroon","PREDICT database http://data.predict.global/"
"Hipposideros diadema","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Hipposideros diadema","Hipposideridae","https://doi.org/10.1007/s00705-012-1410-z","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z"
"Hipposideros fuliginosus","Hipposideridae","https://doi.org/10.1101/2021.09.03.458874","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"Hipposideros fuliginosus","Hipposideridae","http://data.predict.global/","Africa","Cameroon, Liberia","PREDICT database http://data.predict.global/"
"Hipposideros galeritus","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Hipposideros gentilis","Hipposideridae","https://doi.org/10.21203/rs.3.rs-871965/v1","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1"
"Hipposideros gigas","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Hipposideros gigas","Hipposideridae","https://doi.org/10.1371/journal.pone.0236971","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"Hipposideros gigas","Hipposideridae","https://doi.org/10.1038/s41598-020-64159-1","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1"
"Hipposideros gigas","Hipposideridae","https://doi.org/10.1038/s41598-020-64159-1","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1"
"Hipposideros gigas","Hipposideridae",NA,"Africa","Cameroon, Gabon, Guinea, Ivory Coast, Republic of Congo, South Sudan","PREDICT database http://data.predict.global/"
"Hipposideros khaokhouayensis","Hipposideridae","https://doi.org/10.21203/rs.3.rs-871965/v1","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1"
"Hipposideros larvatus","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Hipposideros larvatus","Hipposideridae","https://doi.org/10.1016/j.meegid.2011.06.021","Asia","Thailand","Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
"Hipposideros larvatus","Hipposideridae","https://doi.org/10.1016/j.meegid.2016.11.029","Asia","Laos, Cambodia","Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029"
"Hipposideros larvatus","Hipposideridae","https://doi.org/10.1371/journal.pone.0230802","Asia","Myanmar","Valitutto 2020 PLoS ONE https://doi.org/10.1371/journal.pone.0230802"
"Hipposideros larvatus","Hipposideridae","https://doi.org/10.1186/s12985-015-0289-1","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
"Hipposideros larvatus","Hipposideridae","https://www.mdpi.com/1999-4915/13/10/1962","Asia","China, Laos","Wang 2021 Viruses https://www.mdpi.com/1999-4915/13/10/1962"
"Hipposideros larvatus","Hipposideridae","https://doi.org/10.21203/rs.3.rs-885194/v1","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"Hipposideros larvatus","Hipposideridae","https://doi.org/10.1016/j.cell.2021.06.008","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008"
"Hipposideros larvatus","Hipposideridae",NA,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Hipposideros larvatus","Hipposideridae",NA,"Asia","Bangladesh, China, Lao PDR, Malaysia, Myanmar, Thailand","PREDICT database http://data.predict.global/"
"Hipposideros lekaguli","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Hipposideros lekaguli","Hipposideridae","https://doi.org/10.1186/s12985-015-0289-1","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
"Hipposideros lekaguli","Hipposideridae",NA,"Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Hipposideros pomona","Hipposideridae","https://doi.org/10.1007/s12250-016-3713-9","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9"
"Hipposideros pomona","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros pomona","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros pomona","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros pomona","Hipposideridae","https://doi.org/10.1128/JVI.01305-12","Asia","China","Lau 2012 Journal of Virology https://doi.org/10.1128/JVI.01305-12"
"Hipposideros pomona","Hipposideridae","https://doi.org/10.1128/JVI.01048-15","Asia","China","Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15"
"Hipposideros pomona","Hipposideridae","http://data.predict.global/","Asia","Cambodia, China, Malaysia","PREDICT database http://data.predict.global/"
"Hipposideros pomona","Hipposideridae","https://www.mdpi.com/1999-4915/13/10/1962","Asia","China, Laos","Wang 2021 Viruses https://www.mdpi.com/1999-4915/13/10/1962"
"Hipposideros pomona","Hipposideridae","https://doi.org/10.21203/rs.3.rs-885194/v1","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"Hipposideros pomona","Hipposideridae","https://doi.org/10.1016/j.cell.2021.06.008","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008"
"Hipposideros pratti","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Hipposideros pratti","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros pratti","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros pratti","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Hipposideros pratti","Hipposideridae","https://doi.org/10.1038/ismej.2015.138","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138"
"Hipposideros ruber","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Hipposideros ruber","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Hipposideros ruber","Hipposideridae","https://doi.org/10.4269/ajtmh.19-0872","Africa","Nigeria","Kia 2021 American Journal of Tropical Medicine and Hygiene https://doi.org/10.4269/ajtmh.19-0872"
"Hipposideros ruber","Hipposideridae","https://doi.org/10.1371/journal.pone.0236971","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"Hipposideros ruber","Hipposideridae","https://doi.org/10.1371/journal.pone.0236971","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"Hipposideros ruber","Hipposideridae","http://dx.doi.org/10.3390/v12080855","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"Hipposideros ruber","Hipposideridae","http://dx.doi.org/10.3390/v12080855","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855"
"Hipposideros ruber","Hipposideridae","https://doi.org/10.1101/2021.09.03.458874","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"Hipposideros ruber","Hipposideridae","https://doi.org/10.1101/2021.09.03.458874","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"Hipposideros ruber","Hipposideridae","https://doi.org/10.1007/s10393-019-01458-8","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8"
"Hipposideros ruber","Hipposideridae",NA,"Africa","Cameroon, DR Congo, Guinea, Liberia, Republic of Congo, Rwanda, Senegal, Sierra Leone, Uganda","PREDICT database http://data.predict.global/"
"Hipposideros vittatus","Hipposideridae","https://doi.org/10.1128/JVI.01953-16","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16"
"Macronycteris gigas","Hipposideridae","https://doi.org/10.1101/2021.09.03.458874","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874"
"Cardioderma cor","Megadermatidae","https://doi.org/10.1128/JVI.01953-16","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16"
"Cardioderma cor","Megadermatidae","https://dx.doi.org/10.3201%2Feid1503.081013","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013"
"Megaderma lyra","Megadermatidae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Megaderma lyra","Megadermatidae","https://doi.org/10.1186/s12985-015-0289-1","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
"Megaderma lyra","Megadermatidae","https://doi.org/10.21203/rs.3.rs-885194/v1","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"Miniopterus africanus","Miniopteridae","https://dx.doi.org/10.3201%2Feid1503.081013","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013"
"Miniopterus australis","Miniopteridae","https://doi.org/10.1007/s10393-016-1116-x","Oceania","Australia","Smith 2016 EcoHealth https://doi.org/10.1007/s10393-016-1116-x"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.1111/zph.12271","Asia","Taiwan","Chen 2016 ZPH https://doi.org/10.1111/zph.12271"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.1007/s11427-016-5039-0","Asia","China","Du 2016 Sci China Life Sci https://doi.org/10.1007/s11427-016-5039-0"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.1007/s12250-016-3713-9","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.1111/tbed.14324","Asia","South Korea","Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.1111/tbed.13653","Asia","South Korea","Lo 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13653"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.3390/vaccines9060650","Asia","Sri Lanka","Muzeniek 2021 Vaccines https://doi.org/10.3390/vaccines9060650"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.1007/s11262-011-0661-1","Asia","Japan","Shirato 2012 Virus Genes https://doi.org/10.1007/s11262-011-0661-1"
"Miniopterus fuliginosus","Miniopteridae","https://doi.org/10.1038/ismej.2015.138","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138"
"Miniopterus fuscus","Miniopteridae","https://doi.org/10.1007/s12250-016-3713-9","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9"
"Miniopterus fuscus","Miniopteridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Miniopterus inflatus","Miniopteridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Miniopterus inflatus","Miniopteridae","https://doi.org/10.1371/journal.pone.0236971","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971"
"Miniopterus inflatus","Miniopteridae","https://doi.org/10.1038/s41598-020-64159-1","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1"
"Miniopterus inflatus","Miniopteridae","https://dx.doi.org/10.3201%2Feid1503.081013","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013"
"Miniopterus magnater","Miniopteridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
"Miniopterus magnater","Miniopteridae","https://doi.org/10.1099/vir.0.82203-0","Asia","China","Chu 2006 J Gen Virol https://doi.org/10.1099/vir.0.82203-0"
"Miniopterus magnater","Miniopteridae","https://doi.org/10.1099/vir.0.83605-0","Asia","China","Chu 2008 J Gen Virol https://doi.org/10.1099/vir.0.83605-0"
"Miniopterus magnater","Miniopteridae","https://doi.org/10.1128/JVI.79.4.2001-2009.2005","Asia","China","Poon 2005 J Virol https://doi.org/10.1128/JVI.79.4.2001-2009.2005"
