"","Bat.species","Bat.family","Continent","Country","Reference","Link"
"13","Hipposideros armiger","Hipposideridae","Asia","Thailand","Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021","https://doi.org/10.1016/j.meegid.2011.06.021"
"14","Hipposideros armiger","Hipposideridae","Asia","Taiwan","Chen 2016 ZPH https://doi.org/10.1111/zph.12271","https://doi.org/10.1111/zph.12271"
"15","Hipposideros armiger","Hipposideridae","Asia","China","Ge 2012 Journal of Virology https://doi.org/10.1128/JVI.06671-11","https://doi.org/10.1128/JVI.06671-11"
"16","Hipposideros armiger","Hipposideridae","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33","https://www.nature.com/articles/s41467-020-17687-33"
"17","Hipposideros armiger","Hipposideridae","Asia","China","Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019","https://doi.org/10.1016/j.virol.2017.03.019"
"18","Hipposideros armiger","Hipposideridae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"19","Hipposideros armiger","Hipposideridae","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1","https://doi.org/10.21203/rs.3.rs-885194/v1"
"20","Hipposideros bicolor","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"21","Hipposideros caffer","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"22","Hipposideros caffer","Hipposideridae","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7","https://doi.org/10.1038/s41598-020-63799-7"
"23","Hipposideros caffer","Hipposideridae","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971","https://doi.org/10.1371/journal.pone.0236971"
"24","Hipposideros caffer","Hipposideridae","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874","https://doi.org/10.1101/2021.09.03.458874"
"25","Hipposideros caffer","Hipposideridae","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8","https://doi.org/10.1007/s10393-019-01458-8"
"26","Hipposideros caffer","Hipposideridae","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2","https://doi.org/10.1007/s12250-016-3930-2"
"27","Hipposideros cervinus","Hipposideridae","Asia","Malaysia","PREDICT database http://data.predict.global/","http://data.predict.global/"
"28","Hipposideros cervinus","Hipposideridae","Asia","Malaysia","Seltmann 2017 EcoHealth https://doi.org/10.1007/s10393-017-1245-x","https://doi.org/10.1007/s10393-017-1245-x"
"29","Hipposideros cf. caffer","Hipposideridae","Africa","Zimbabwe","Bourgarel 2018 IGE https://doi.org/10.1016/j.meegid.2018.01.007","https://doi.org/10.1016/j.meegid.2018.01.007"
"30","Hipposideros cf. ruber","Hipposideridae","Africa","Ghana","Corman 2015 J Virol https://doi.org/10.1128/JVI.01755-15","https://doi.org/10.1128/JVI.01755-15"
"31","Hipposideros cf. ruber","Hipposideridae","Africa","Gabon","Maganga 2014 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0100172","https://dx.doi.org/10.1371%2Fjournal.pone.0100172"
"32","Hipposideros cf. ruber","Hipposideridae","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1","https://doi.org/10.1038/s41598-020-64159-1"
"33","Hipposideros cf. ruber","Hipposideridae","Africa","Ghana","Pfefferle 2009 EID https://dx.doi.org/10.3201%2Feid1509.090224","https://dx.doi.org/10.3201%2Feid1509.090224"
"34","Hipposideros cineraceus","Hipposideridae","Asia","China","Xu 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3727-3","https://doi.org/10.1007/s12250-016-3727-3"
"35","Hipposideros cineraceus","Hipposideridae","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008","https://doi.org/10.1016/j.cell.2021.06.008"
"36","Hipposideros commersoni","Hipposideridae","Africa","Nigeria","Quan 2010 mBio https://doi.org/10.1128/mBio.00208-10","https://doi.org/10.1128/mBio.00208-10"
"37","Hipposideros commersoni","Hipposideridae","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013","https://dx.doi.org/10.3201%2Feid1503.081013"
"38","Hipposideros curtus","Hipposideridae","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874","https://doi.org/10.1101/2021.09.03.458874"
"39","Hipposideros curtus","Hipposideridae","Africa","Cameroon","PREDICT database http://data.predict.global/","http://data.predict.global/"
"40","Hipposideros diadema","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"41","Hipposideros diadema","Hipposideridae","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z","https://doi.org/10.1007/s00705-012-1410-z"
"42","Hipposideros fuliginosus","Hipposideridae","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874","https://doi.org/10.1101/2021.09.03.458874"
"43","Hipposideros fuliginosus","Hipposideridae","Africa","Cameroon, Liberia","PREDICT database http://data.predict.global/","http://data.predict.global/"
"44","Hipposideros galeritus","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"45","Hipposideros gentilis","Hipposideridae","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1","https://doi.org/10.21203/rs.3.rs-871965/v1"
"46","Hipposideros gigas","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"47","Hipposideros gigas","Hipposideridae","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971","https://doi.org/10.1371/journal.pone.0236971"
"48","Hipposideros gigas","Hipposideridae","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1","https://doi.org/10.1038/s41598-020-64159-1"
"49","Hipposideros khaokhouayensis","Hipposideridae","Asia","Laos","Temmam 2021 Research Square https://doi.org/10.21203/rs.3.rs-871965/v1","https://doi.org/10.21203/rs.3.rs-871965/v1"
"50","Hipposideros larvatus","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"51","Hipposideros larvatus","Hipposideridae","Asia","Thailand","Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021","https://doi.org/10.1016/j.meegid.2011.06.021"
"52","Hipposideros larvatus","Hipposideridae","Asia","Laos, Cambodia","Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029","https://doi.org/10.1016/j.meegid.2016.11.029"
"53","Hipposideros larvatus","Hipposideridae","Asia","Myanmar","Valitutto 2020 PLoS ONE https://doi.org/10.1371/journal.pone.0230802","https://doi.org/10.1371/journal.pone.0230802"
"54","Hipposideros larvatus","Hipposideridae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"55","Hipposideros larvatus","Hipposideridae","Asia","China, Laos","Wang 2021 Viruses https://www.mdpi.com/1999-4915/13/10/1962","https://www.mdpi.com/1999-4915/13/10/1962"
"56","Hipposideros larvatus","Hipposideridae","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1","https://doi.org/10.21203/rs.3.rs-885194/v1"
"57","Hipposideros larvatus","Hipposideridae","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008","https://doi.org/10.1016/j.cell.2021.06.008"
"58","Hipposideros lekaguli","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"59","Hipposideros lekaguli","Hipposideridae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"60","Hipposideros pomona","Hipposideridae","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9","https://doi.org/10.1007/s12250-016-3713-9"
"61","Hipposideros pomona","Hipposideridae","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33","https://www.nature.com/articles/s41467-020-17687-33"
"62","Hipposideros pomona","Hipposideridae","Asia","China","Lau 2012 Journal of Virology https://doi.org/10.1128/JVI.01305-12","https://doi.org/10.1128/JVI.01305-12"
"63","Hipposideros pomona","Hipposideridae","Asia","China","Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15","https://doi.org/10.1128/JVI.01048-15"
"64","Hipposideros pomona","Hipposideridae","Asia","Cambodia, China, Malaysia","PREDICT database http://data.predict.global/","http://data.predict.global/"
"65","Hipposideros pomona","Hipposideridae","Asia","China, Laos","Wang 2021 Viruses https://www.mdpi.com/1999-4915/13/10/1962","https://www.mdpi.com/1999-4915/13/10/1962"
"66","Hipposideros pomona","Hipposideridae","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1","https://doi.org/10.21203/rs.3.rs-885194/v1"
"67","Hipposideros pomona","Hipposideridae","Asia","China","Zhou 2021 Cell https://doi.org/10.1016/j.cell.2021.06.008","https://doi.org/10.1016/j.cell.2021.06.008"
"68","Hipposideros pratti","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"69","Hipposideros pratti","Hipposideridae","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33","https://www.nature.com/articles/s41467-020-17687-33"
"70","Hipposideros pratti","Hipposideridae","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138","https://doi.org/10.1038/ismej.2015.138"
"71","Hipposideros ruber","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"72","Hipposideros ruber","Hipposideridae","Africa","Nigeria","Kia 2021 American Journal of Tropical Medicine and Hygiene https://doi.org/10.4269/ajtmh.19-0872","https://doi.org/10.4269/ajtmh.19-0872"
"73","Hipposideros ruber","Hipposideridae","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971","https://doi.org/10.1371/journal.pone.0236971"
"74","Hipposideros ruber","Hipposideridae","Africa","Guinea","Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855","http://dx.doi.org/10.3390/v12080855"
"75","Hipposideros ruber","Hipposideridae","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874","https://doi.org/10.1101/2021.09.03.458874"
"76","Hipposideros ruber","Hipposideridae","Africa","Rwanda","Nziza 2019 EcoHealth https://doi.org/10.1007/s10393-019-01458-8","https://doi.org/10.1007/s10393-019-01458-8"
"77","Hipposideros vittatus","Hipposideridae","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16","https://doi.org/10.1128/JVI.01953-16"
"78","Macronycteris gigas","Hipposideridae","Africa","Cameroon","Ntumvi 2021 bioRxiv https://doi.org/10.1101/2021.09.03.458874","https://doi.org/10.1101/2021.09.03.458874"
"79","Cardioderma cor","Megadermatidae","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16","https://doi.org/10.1128/JVI.01953-16"
"80","Cardioderma cor","Megadermatidae","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013","https://dx.doi.org/10.3201%2Feid1503.081013"
"81","Megaderma lyra","Megadermatidae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"82","Megaderma lyra","Megadermatidae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"83","Megaderma lyra","Megadermatidae","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1","https://doi.org/10.21203/rs.3.rs-885194/v1"
"84","Miniopterus africanus","Miniopteridae","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013","https://dx.doi.org/10.3201%2Feid1503.081013"
"85","Miniopterus australis","Miniopteridae","Oceania","Australia","Smith 2016 EcoHealth https://doi.org/10.1007/s10393-016-1116-x","https://doi.org/10.1007/s10393-016-1116-x"
"86","Miniopterus fuliginosus","Miniopteridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"87","Miniopterus fuliginosus","Miniopteridae","Asia","Taiwan","Chen 2016 ZPH https://doi.org/10.1111/zph.12271","https://doi.org/10.1111/zph.12271"
"88","Miniopterus fuliginosus","Miniopteridae","Asia","China","Du 2016 Sci China Life Sci https://doi.org/10.1007/s11427-016-5039-0","https://doi.org/10.1007/s11427-016-5039-0"
"89","Miniopterus fuliginosus","Miniopteridae","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9","https://doi.org/10.1007/s12250-016-3713-9"
"90","Miniopterus fuliginosus","Miniopteridae","Asia","South Korea","Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324","https://doi.org/10.1111/tbed.14324"
"91","Miniopterus fuliginosus","Miniopteridae","Asia","South Korea","Lo 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13653","https://doi.org/10.1111/tbed.13653"
"92","Miniopterus fuliginosus","Miniopteridae","Asia","Sri Lanka","Muzeniek 2021 Vaccines https://doi.org/10.3390/vaccines9060650","https://doi.org/10.3390/vaccines9060650"
"93","Miniopterus fuliginosus","Miniopteridae","Asia","Japan","Shirato 2012 Virus Genes https://doi.org/10.1007/s11262-011-0661-1","https://doi.org/10.1007/s11262-011-0661-1"
"94","Miniopterus fuliginosus","Miniopteridae","Asia","China","Wu 2015 ISME J https://doi.org/10.1038/ismej.2015.138","https://doi.org/10.1038/ismej.2015.138"
"95","Miniopterus fuscus","Miniopteridae","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9","https://doi.org/10.1007/s12250-016-3713-9"
"96","Miniopterus fuscus","Miniopteridae","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33","https://www.nature.com/articles/s41467-020-17687-33"
"97","Miniopterus inflatus","Miniopteridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"98","Miniopterus inflatus","Miniopteridae","Africa","Democratic Republic of the Congo, Republic of the Congo","Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971","https://doi.org/10.1371/journal.pone.0236971"
"99","Miniopterus inflatus","Miniopteridae","Africa","Gabon","Maganga 2020 Scientific Reports https://doi.org/10.1038/s41598-020-64159-1","https://doi.org/10.1038/s41598-020-64159-1"
"100","Miniopterus inflatus","Miniopteridae","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013","https://dx.doi.org/10.3201%2Feid1503.081013"
"101","Miniopterus magnater","Miniopteridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/","https://doi.org/10.1093/ve/vex012"
"102","Miniopterus magnater","Miniopteridae","Asia","China","Chu 2006 J Gen Virol https://doi.org/10.1099/vir.0.82203-0","https://doi.org/10.1099/vir.0.82203-0"
"103","Miniopterus magnater","Miniopteridae","Asia","China","Chu 2008 J Gen Virol https://doi.org/10.1099/vir.0.83605-0","https://doi.org/10.1099/vir.0.83605-0"
"104","Miniopterus magnater","Miniopteridae","Asia","China","Poon 2005 J Virol https://doi.org/10.1128/JVI.79.4.2001-2009.2005","https://doi.org/10.1128/JVI.79.4.2001-2009.2005"
"105","Miniopterus magnater","Miniopteridae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"106","Miniopterus magnater","Miniopteridae","Asia","China","Woo 2006 Virology https://doi.org/10.1016/j.virol.2006.02.041","https://doi.org/10.1016/j.virol.2006.02.041"
"107","Miniopterus minor","Miniopteridae","Africa","Kenya","Tao 2017 J Virol https://doi.org/10.1128/JVI.01953-16","https://doi.org/10.1128/JVI.01953-16"
"108","Miniopterus minor","Miniopteridae","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013","https://dx.doi.org/10.3201%2Feid1503.081013"
"109","Miniopterus minor","Miniopteridae","Africa","Kenya","Waruhiu 2017 Vir Sinica https://doi.org/10.1007/s12250-016-3930-2","https://doi.org/10.1007/s12250-016-3930-2"
"110","Miniopterus mossambicus","Miniopteridae","Africa","Mozambique","Joffrin 2020 Sci Rep https://doi.org/10.1038/s41598-020-63799-7","https://doi.org/10.1038/s41598-020-63799-7"
"111","Miniopterus natalensis","Miniopteridae","Africa","South Africa","Geldenhuys 2013 VBZD https://doi.org/10.1089/vbz.2012.1101","https://doi.org/10.1089/vbz.2012.1101"
"112","Miniopterus natalensis","Miniopteridae","Africa","Kenya","Tong 2009 EID https://dx.doi.org/10.3201%2Feid1503.081013","https://dx.doi.org/10.3201%2Feid1503.081013"
"113","Miniopterus pusillus","Miniopteridae","Asia","China","Chu 2006 J Gen Virol https://doi.org/10.1099/vir.0.82203-0","https://doi.org/10.1099/vir.0.82203-0"
"114","Miniopterus pusillus","Miniopteridae","Asia","China","Chu 2008 J Gen Virol https://doi.org/10.1099/vir.0.83605-0","https://doi.org/10.1099/vir.0.83605-0"
"115","Miniopterus pusillus","Miniopteridae","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33","https://www.nature.com/articles/s41467-020-17687-33"
"116","Miniopterus pusillus","Miniopteridae","Asia","China","Poon 2005 J Virol https://doi.org/10.1128/JVI.79.4.2001-2009.2005","https://doi.org/10.1128/JVI.79.4.2001-2009.2005"
"117","Miniopterus pusillus","Miniopteridae","Asia","China, Thailand","PREDICT database http://data.predict.global/","http://data.predict.global/"
"118","Miniopterus pusillus","Miniopteridae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"119","Miniopterus pusillus","Miniopteridae","Asia","China","Woo 2006 Virology https://doi.org/10.1016/j.virol.2006.02.041","https://doi.org/10.1016/j.virol.2006.02.041"
"120","Miniopterus pusillus","Miniopteridae","Asia","China","Woo 2007 J Virol https://doi.org/10.1128/JVI.02182-06","https://doi.org/10.1128/JVI.02182-06"
"121","Miniopterus pusillus","Miniopteridae","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1","https://doi.org/10.21203/rs.3.rs-885194/v1"
"122","Miniopterus schreibersii","Miniopteridae","Europe","France, Spain","Ar Gouilh 2018 Virology https://doi.org/10.1016/j.virol.2018.01.014","https://doi.org/10.1016/j.virol.2018.01.014"
"123","Miniopterus schreibersii","Miniopteridae","Europe","Bulgaria","Drexler 2010 Journal of Virology https://doi.org/10.1128/JVI.00650-10","https://doi.org/10.1128/JVI.00650-10"
"124","Miniopterus schreibersii","Miniopteridae","Europe","Spain","Falcon 2011 Archives of Virology https://doi.org/10.1007/s00705-011-1057-1","https://doi.org/10.1007/s00705-011-1057-1"
"125","Miniopterus schreibersii","Miniopteridae","Asia","China","Ge 2016 Virologica Sinica https://doi.org/10.1007/s12250-016-3713-9","https://doi.org/10.1007/s12250-016-3713-9"
"126","Miniopterus schreibersii","Miniopteridae","Asia","South Korea","Kim 2016 TED https://doi.org/10.1111/tbed.12515","https://doi.org/10.1111/tbed.12515"
"127","Miniopterus schreibersii","Miniopteridae","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33","https://www.nature.com/articles/s41467-020-17687-33"
"128","Miniopterus schreibersii","Miniopteridae","Asia","South Korea","Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324","https://doi.org/10.1111/tbed.14324"
"129","Miniopterus schreibersii","Miniopteridae","Asia","China","Liang 2017 Virologica Sinica https://doi.org/10.1007/s12250-017-3976-9","https://doi.org/10.1007/s12250-017-3976-9"
"130","Miniopterus schreibersii","Miniopteridae","Asia","China","Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019","https://doi.org/10.1016/j.virol.2017.03.019"
"131","Miniopterus schreibersii","Miniopteridae","Asia","South Korea","Lo 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13653","https://doi.org/10.1111/tbed.13653"
"132","Miniopterus schreibersii","Miniopteridae","Europe","France","Monchatre-Leroy 2017 Viruses https://doi.org/10.3390/v9120364","https://doi.org/10.3390/v9120364"
"133","Miniopterus schreibersii","Miniopteridae","Asia","China","Poon 2005 J Virol https://doi.org/10.1128/JVI.79.4.2001-2009.2005","https://doi.org/10.1128/JVI.79.4.2001-2009.2005"
"134","Miniopterus schreibersii","Miniopteridae","Asia","Cameroon, China, Jordan, Liberia, Malaysia, Thailand","PREDICT database http://data.predict.global/","http://data.predict.global/"
